sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.8144;1.9236;10.9277;-2.2874;2.7593;9.1282;0.9365;-0.5998;1.6397;-0.2473;-1.6328;-1.0783;2674.176;-16.98;9.85;-37.46;53.98;-16.34;14.07;5.0;60.001;12.931794;77.68339;823.79;879.5292358;0.0;8.576;;14 / 22;9;2018-08-07 08:43:11:646
-8.6115;-0.3102;6.0842;-4.3977;-0.5863;8.7457;-4.3614;0.2712;-2.9215;0.2982;-0.2522;-0.6714;2901.021;-14.02;14.23;-39.76;68.16;3.43;26.7;5.0;63.418;12.931794;77.68339;823.79;879.5292358;0.0;8.576;;14 / 22;509;2018-08-07 08:43:12:146
-6.9021;-2.4961;-1.0481;-9.5038;-2.4033;0.2675;2.3873;-0.2071;-0.9979;-3.1437;4.3007;-3.0874;955.3407;19.69;19.78;-48.24;73.81;9.23;80.28;5.0;65.797;12.931794;77.68339;823.79;879.5292358;0.0;8.576;;14 / 22;1009;2018-08-07 08:43:12:646
-9.3801;-6.2095;-0.9332;-7.9763;-5.7049;-0.055;-1.3894;-0.5128;-0.9453;0.0191;-0.7369;0.1041;617.0179;19.35;16.5;-47.93;86.24;35.5;90.75;5.0;62.91;12.931796;77.68339;817.15;879.5292358;0.0;8.576;;13 / 22;1509;2018-08-07 08:43:13:146
-6.7297;-5.2422;-0.5022;-7.9744;-5.7074;0.0681;1.3391;0.3575;-0.5629;0.2556;-0.0594;0.1734;578.1302;18.74;14.8;-48.26;90.5;35.91;89.95;5.0;59.795;12.931802;77.68339;809.39;879.5292358;0.0;7.504;;13 / 22;2009;2018-08-07 08:43:13:646
-7.4432;-5.417;1.6813;-7.7748;-5.834;1.2989;0.2788;0.3999;0.3807;-0.0438;-0.4674;-0.2623;596.2778;16.88;12.53;-49.77;95.44;36.51;80.52;5.0;54.583;12.931802;77.68339;809.39;879.5292358;0.0;7.504;;13 / 22;2509;2018-08-07 08:43:14:146
-6.009;-5.6516;0.7116;-6.6932;-6.3562;3.312;1.0567;0.8426;-2.0106;-0.3793;0.0258;-0.0535;448.5046;4.26;14.46;-48.85;97.85;40.17;63.34;5.0;52.926;12.931805;77.683395;804.02;879.5292358;0.0;7.504;;14 / 22;3008;2018-08-07 08:43:14:645
-5.1328;-7.4185;5.1313;-5.5815;-6.8963;4.1784;0.3124;-0.6547;1.0027;0.7019;1.0005;0.3449;443.3196;-7.74;20.95;-43.47;88.08;44.69;53.18;0.0;59.09;12.931805;77.683395;804.02;879.5292358;0.0;7.504;;14 / 22;3509;2018-08-07 08:43:15:146
-4.053;-5.4146;6.6612;-4.929;-7.4966;3.9593;4.6369;3.7036;3.7263;0.1181;-0.4088;0.3608;9.8299;-7.5;17.93;-45.45;98.66;50.45;52.5;0.0;60.915;12.931811;77.6834;799.51;879.5292358;0.0;6.432;;14 / 22;4009;2018-08-07 08:43:15:646
-2.9708;-11.7185;2.7635;-1.9641;-9.3198;2.3353;-1.4037;-3.2516;-0.1843;0.2119;-0.0605;-0.1856;0.0;-2.75;13.74;-47.25;129.55;71.71;41.08;0.0;58.671;12.931811;77.6834;799.51;879.5292358;0.0;6.432;;14 / 22;4508;2018-08-07 08:43:16:145
-0.3491;-6.5518;0.3884;-0.8571;-9.7497;0.6162;0.5887;2.8399;-0.1226;-0.7394;-0.2011;0.7092;0.0;-4.4;15.27;-43.12;125.69;84.2;46.23;0.0;60.081;12.931812;77.6834;794.36;879.5292358;0.0;6.432;;14 / 22;5009;2018-08-07 08:43:16:646
-1.6348;-10.2078;0.082;-1.4373;-9.6959;-0.307;-0.234;-0.0048;0.2357;-0.0683;-0.2;-0.2038;0.0;-3.06;21.17;-43.94;70.84;81.23;101.5;0.0;62.041;12.931812;77.6834;794.36;879.5292358;0.0;6.432;;14 / 22;5509;2018-08-07 08:43:17:146
0.4242;-5.9437;-1.2731;-0.9167;-9.7531;-0.4542;1.0217;4.25;-0.38;0.1139;0.5851;-0.077;0.0;-4.05;19.96;-44.7;57.76;83.83;113.3;0.0;63.792;12.931811;77.683395;789.09;879.5292358;0.0;5.36;;14 / 22;6009;2018-08-07 08:43:17:646
