sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.4697;4.5812;8.2845;0.1983;4.5169;8.7022;0.2344;0.0165;-0.3303;-0.2062;0.1313;-0.0834;7268.3984;-32.26;18.95;-23.69;47.89;-27.62;-1.5;5.0;53.902;;;;NaN;;;;0 / 0;10;2018-08-03 08:45:22:659
-3.8447;1.8734;8.0954;-1.2552;2.7;9.3437;0.179;-0.597;-1.5369;-0.3958;-0.5696;0.3981;8150.592;-26.2;24.59;-26.1;44.08;-16.35;7.8;5.0;54.077;;;;NaN;;;;0 / 0;509;2018-08-03 08:45:23:158
-0.4664;6.1422;9.3858;-0.0497;5.2966;8.2532;-0.2623;0.8544;1.0519;1.3885;0.713;-0.5329;7750.822;-21.84;26.03;-33.61;28.32;-31.6;-0.65;5.0;53.868;;;;NaN;;;;0 / 0;1010;2018-08-03 08:45:23:659
-0.2342;1.8757;13.1088;-1.0963;1.0623;9.6871;-0.1943;-0.1871;3.1308;-0.6813;0.0461;-0.6895;9167.7295;-29.06;26.34;-22.61;44.33;-9.79;6.03;5.0;58.54;;;;NaN;;;;0 / 0;1509;2018-08-03 08:45:24:158
-5.693;-10.6555;-15.2218;-4.676;-8.0837;2.9932;-4.293;-2.3257;-24.1518;-4.4865;-4.9457;2.7523;264.4362;15.65;-8.23;-41.79;145.2;54.92;54.03;5.0;59.779;;;;NaN;;;;0 / 0;2010;2018-08-03 08:45:24:659
-4.9532;-5.5223;-4.309;-7.8666;-5.4314;-2.1878;3.3917;0.254;-3.9493;0.7056;1.8123;-0.3018;7.7775;27.05;-1.58;-39.93;102.97;33.27;104.59;0.0;57.312;;;;NaN;;;;0 / 0;2509;2018-08-03 08:45:25:158
-6.5669;-10.9572;-3.2627;-5.4842;-8.1256;-0.2622;-1.0815;-2.5869;-1.9715;-0.8028;0.877;0.51;0.0;20.39;3.95;-41.15;107.8;56.29;91.77;0.0;62.528;;;;NaN;;;;0 / 0;3010;2018-08-03 08:45:25:659
-8.2428;-12.2476;1.473;-5.6245;-7.691;-2.3202;-2.9649;-4.7003;3.829;0.9038;1.35;-1.1721;0.0;26.53;5.85;-38.32;98.1;48.9;110.05;0.0;62.591;;;;NaN;;;;0 / 0;3509;2018-08-03 08:45:26:158
-4.7808;-10.4328;-2.6163;-2.4161;-9.5038;0.1057;-4.5464;-0.7139;-1.6844;-0.9913;-0.7432;-0.9612;0.0;22.76;4.61;-40.25;122.13;74.88;85.44;0.0;58.692;;;;NaN;;;;0 / 0;4009;2018-08-03 08:45:26:658
-3.9692;-17.1486;0.8457;-2.9373;-9.2904;-1.1092;-0.6169;-7.8858;1.154;0.2433;-0.5824;0.3555;0.0;26.92;8.65;-38.98;97.82;71.5;112.86;0.0;61.561;;;;NaN;;;;0 / 0;4510;2018-08-03 08:45:27:159
